address,name,account_type,entity,labels,tags
0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,eoa,exchange,1,
0xea81ce54a0afa10a027f65503bd52fba83d745b8,Kuna.io,eoa,exchange,1,
0x0861fca546225fbf8806986d211c8398f7457734,LAToken,eoa,exchange,1,
0x7891b20c690605f4e370d6944c8a5dbfac5a451c,LAToken 2,eoa,exchange,1,
0x1b6c1a0e20af81b922cb454c3e52408496ee7201,LAToken 3,eoa,exchange,1,
0x8271b2e8cbe29396e9563229030c89679b9470db,Liqui.io 1,eoa,exchange,1,
0x5e575279bf9f4acf0a130c186861454247394c06,Liqui.io 2,eoa,exchange,1,
0xedbb72e6b3cf66a792bff7faac5ea769fe810517,Liquid 1,eoa,exchange,1,
0xdf4b6fb700c428476bd3c02e6fa83e110741145b,Liquid 2,eoa,exchange,1,
0xdb2cad4f306b47c9b35541988c7656f1bb092e15,Liquid 3,eoa,exchange,1,
0x9cc2dce817093ceea82bb67a4cf43131fa354c06,Liquid 4,eoa,exchange,1,
0x243bec9256c9a3469da22103891465b47583d9f1,Livecoin.net,eoa,exchange,1,
0xe03c23519e18d64f144d2800e30e81b0065c48b5,Mercatox,eoa,exchange,1,
0xac338d9faac562df26d702880c796e1024e2698a,MinedTrade.com,eoa,exchange,1,
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,MXC,eoa,exchange,1,
0x0211f3cedbef3143223d3acf0e589747933e8527,MXC 2,eoa,exchange,1,
0xae7006588d03bd15d6954e3084a7e644596bc251,NEXBIT Pro,eoa,exchange,1,
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,OKEx,eoa,exchange,1,
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,OKEx 2,eoa,exchange,1,
0xa7efae728d2936e78bda97dc267687568dd593f3,OKEx 3,eoa,exchange,1,
0x03e3ff995863828554282e80870b489cc31dc8bc,OMGFIN Exchange,eoa,exchange,1,
0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,OTCBTC,eoa,exchange,1,
0xcacc694840ecebadd9b4c419e5b7f1d73fedf999,Panda.Exchange 1: Hot Wallet,eoa,exchange,1,
0xb709d82f0706476457ae6bad7c3534fbf424382c,Panda.Exchange 2: Hot Wallet,eoa,exchange,1,
0xbd8ef191caa1571e8ad4619ae894e07a75de0c35,Paribu 1,eoa,exchange,1,
0x2bb97b6cf6ffe53576032c11711d59bd056830ee,Paribu 2,eoa,exchange,1,
0xfb90501083a3b6af766c8da35d3dde01eb0d2a68,Paribu 3,eoa,exchange,1,
0xabc74170f3cb8ab352820c39cc1d1e05ce9e41d3,Paribu 4,eoa,exchange,1,
0x9acbb72cf67103a30333a32cd203459c6a9c3311,Paribu 5,eoa,exchange,1,
0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,Peatio,eoa,exchange,1,
0x32be343b94f860124dc4fee278fdcbd38c102d88,Poloniex,eoa,exchange,1,
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,Poloniex 2,eoa,exchange,1,
0xb794f5ea0ba39494ce839613fffba74279579268,Poloniex 3,eoa,exchange,1,
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,Poloniex 4,eoa,exchange,1,
0xaa9fa73dfe17ecaa2c89b39f0bb2779613c5fc3b,Poloniex: BAT,eoa,exchange,1,
0x2fa2bc2ce6a4f92952921a4caa46b3727d24a1ec,Poloniex: BNT,eoa,exchange,1,
0x31a2feb9b5d3b5f4e76c71d6c92fc46ebb3cb1c1,Poloniex: CVC,eoa,exchange,1,
0x6b71834d65c5c4d8ed158d54b47e6ea4ff4e5437,Poloniex: FOAM,eoa,exchange,1,
0x48d466b7c0d32b61e8a82cd2bcf060f7c3f966df,Poloniex: GNO,eoa,exchange,1,
0x0536806df512d6cdde913cf95c9886f65b1d3462,Poloniex: GNT,eoa,exchange,1,
0x8d451ae5ee8f557a9ce7a9d7be8a8cb40002d5cb,Poloniex: KNC,eoa,exchange,1,
0xbd2ec7c608a06fe975dbdca729e84dedb34ecc21,Poloniex: LOOM,eoa,exchange,1,
0xc0e30823e5e628df8bc9bf2636a347e1512f0ecb,Poloniex: MANA,eoa,exchange,1,
0x65f9b2e4d7aaeb40ffea8c6f5844d5ad7da257e0,Poloniex: NXC,eoa,exchange,1,
