address,name,account_type,type
0xa7efae728d2936e78bda97dc267687568dd593f3,OkEx 3,eoa,Exchange
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,Okex 1,eoa,Exchange
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,Okex 2,eoa,Exchange
0xd2045edc40199019e221d71c0913343f7908d0d5,Paradex,eoa,Exchange
0xbd8ef191caa1571e8ad4619ae894e07a75de0c35,Paribu 1,eoa,Exchange
0x2bb97b6cf6ffe53576032c11711d59bd056830ee,Paribu 2,eoa,Exchange
0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,Peatio,eoa,Exchange
0x32be343b94f860124dc4fee278fdcbd38c102d88,Poloniex 1,eoa,Exchange
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,Poloniex 2,contract,Exchange
0xb794f5ea0ba39494ce839613fffba74279579268,Poloniex 3,eoa,Exchange
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,Poloniex 4,eoa,Exchange
0xaa9fa73dfe17ecaa2c89b39f0bb2779613c5fc3b,Poloniex: BAT,eoa,Exchange
0x2fa2bc2ce6a4f92952921a4caa46b3727d24a1ec,Poloniex: BNT,eoa,Exchange
0x31a2feb9b5d3b5f4e76c71d6c92fc46ebb3cb1c1,Poloniex: CVC,eoa,Exchange
0x6b71834d65c5c4d8ed158d54b47e6ea4ff4e5437,Poloniex: FOAM,eoa,Exchange
0x48d466b7c0d32b61e8a82cd2bcf060f7c3f966df,Poloniex: GNO,eoa,Exchange
0x0536806df512d6cdde913cf95c9886f65b1d3462,Poloniex: GNT,eoa,Exchange
0x8d451ae5ee8f557a9ce7a9d7be8a8cb40002d5cb,Poloniex: KNC,eoa,Exchange
0xbd2ec7c608a06fe975dbdca729e84dedb34ecc21,Poloniex: LOOM,eoa,Exchange
0xc0e30823e5e628df8bc9bf2636a347e1512f0ecb,Poloniex: MANA,eoa,Exchange
0x65f9b2e4d7aaeb40ffea8c6f5844d5ad7da257e0,Poloniex: NXC,eoa,Exchange
0x36b01066b7fa4a0fdb2968ea0256c848e9135674,Poloniex: OMG,eoa,Exchange
0xab11204cfeaccffa63c2d23aef2ea9accdb0a0d5,Poloniex: REP,eoa,Exchange
0x6795cf8eb25585eadc356ae32ac6641016c550f2,Poloniex: SNT,eoa,Exchange
0xfbf2173154f7625713be22e0504404ebfe021eae,Poloniex: STORJ,eoa,Exchange
0x6f803466bcd17f44fa18975bf7c509ba64bf3825,Poloniex: USDC,eoa,Exchange
0xead6be34ce315940264519f250d8160f369fa5cd,Poloniex: ZRX,eoa,Exchange
0x41d5233f434d98b73f22ce664d48be06f4eb073f,Qryptos/Liquid,eoa,Exchange
0x027beefcbad782faf69fad12dee97ed894c68549,QuadrigaCX 1,eoa,Exchange
0xb6aac3b56ff818496b747ea57fcbe42a9aae6218,QuadrigaCX 2,eoa,Exchange
0x0ee4e2d09aec35bdf08083b649033ac0a41aa75e,QuadrigaCX 3,eoa,Exchange
0xd344539efe31f8b6de983a0cab4fb721fc69c547,QuantaEx 1,eoa,Exchange
0x5ca39c42f4dee3a5ba8fec3ad4902157d48700bf,QuantaEx 2,eoa,Exchange
0x2a048d9a8ffdd239f063b09854976c3049ae659c,QuantaEx 3,eoa,Exchange
0x2819c144d5946404c0516b6f817a960db37d4929,Remitano 2,eoa,Exchange
